"TIME","REF"
"s","null"
0.0000000,-0.072145
0.0002500,0.057630
0.0005000,-0.004554
0.0007500,-0.120159
0.0010000,2.273675
0.0012500,3.969801
0.0015000,3.566137
0.0017500,3.722939
0.0020000,3.685685
0.0022500,3.637162
0.0025000,3.709441
0.0027500,3.622380
0.0030000,3.683180
0.0032500,3.637003
0.0035000,3.647409
0.0037500,3.645707
0.0040000,3.626163
0.0042500,3.638300
0.0045000,3.618674
0.0047500,3.622257
0.0050000,3.613908
0.0052500,3.608365
0.0055000,3.605569
0.0057500,3.597974
0.0060000,3.594712
0.0062500,3.588752
0.0065000,3.583779
0.0067500,3.578679
0.0070000,3.572845
0.0072500,3.567447
0.0075000,3.562090
0.0077500,3.557210
0.0080000,3.552565
0.0082500,3.547761
0.0085000,3.542786
0.0087500,3.537745
0.0090000,3.532690
0.0092500,3.527717
0.0095000,3.522904
0.0097500,3.518071
0.0100000,3.513264
0.0102500,3.508316
0.0105000,3.503407
0.0107500,3.498537
0.0110000,3.493621
0.0112500,3.489167
0.0115000,3.484324
0.0117500,3.479223
0.0120000,3.474613
0.0122500,3.469712
0.0125000,3.465000
0.0127500,3.460318
0.0130000,3.455248
0.0132500,3.450694
0.0135000,3.446065
0.0137500,3.441284
0.0140000,3.436689
0.0142500,3.431891
0.0145000,3.427234
0.0147500,3.422525
0.0150000,3.417642
0.0152500,3.412859
0.0155000,3.407867
0.0157500,3.402961
0.0160000,3.398404
0.0162500,3.394011
0.0165000,3.389732
0.0167500,3.385024
0.0170000,3.380275
0.0172500,3.375749
0.0175000,3.370919
0.0177500,3.366236
0.0180000,3.361805
0.0182500,3.357413
0.0185000,3.352797
0.0187500,3.348144
0.0190000,3.343661
0.0192500,3.338983
0.0195000,3.334672
0.0197500,3.330366
0.0200000,3.325555
0.0202500,3.321025
0.0205000,3.316664
0.0207500,3.312135
0.0210000,3.307639
0.0212500,3.303164
0.0215000,3.298750
0.0217500,3.294443
0.0220000,3.290008
0.0222500,3.285606
0.0225000,3.281152
