"TIME","VZ"
"s","null"
0.0000000,-0.033195
0.0002500,0.040154
0.0005000,0.207082
0.0007500,-0.037043
0.0010000,0.123239
0.0012500,-0.099328
0.0015000,-0.060379
0.0017500,0.449784
0.0020000,-0.482621
0.0022500,0.097055
0.0025000,0.581240
0.0027500,-0.817970
0.0030000,0.363844
0.0032500,0.435973
0.0035000,-0.849308
0.0037500,0.497784
0.0040000,0.193153
0.0042500,-0.591473
0.0045000,0.383076
0.0047500,0.075698
0.0050000,-0.296060
0.0052500,0.145753
0.0055000,0.097943
0.0057500,-0.114492
0.0060000,-0.022316
0.0062500,0.106367
0.0065000,0.008373
0.0067500,-0.096871
0.0070000,0.025469
0.0072500,0.172535
0.0075000,-0.176720
0.0077500,-0.066606
0.0080000,0.360147
0.0082500,-0.319730
0.0085000,-0.044452
0.0087500,0.436649
0.0090000,-0.461904
0.0092500,0.172060
0.0095000,0.222843
0.0097500,-0.496288
0.0100000,0.530783
0.0102500,-0.188439
0.0105000,-0.365816
0.0107500,0.736595
0.0110000,-0.534460
0.0112500,-0.117423
0.0115000,0.693330
0.0117500,-0.638595
0.0120000,0.052124
0.0122500,0.511911
0.0125000,-0.526940
0.0127500,0.083953
0.0130000,0.349867
0.0132500,-0.342124
0.0135000,0.014037
0.0137500,0.264358
0.0140000,-0.187386
0.0142500,-0.099635
0.0145000,0.264242
0.0147500,-0.088228
0.0150000,-0.191533
0.0152500,0.276260
0.0155000,-0.049921
0.0157500,-0.196275
0.0160000,0.229673
0.0162500,-0.023752
0.0165000,-0.136927
0.0167500,0.128319
0.0170000,0.018016
0.0172500,-0.087268
0.0175000,0.055278
0.0177500,0.044907
0.0180000,-0.063274
0.0182500,0.031149
0.0185000,0.026429
0.0187500,-0.020438
0.0190000,0.013980
0.0192500,-0.008364
0.0195000,0.035768
0.0197500,-0.024664
0.0200000,-0.005175
0.0202500,0.060918
0.0205000,-0.061890
0.0207500,0.029669
0.0210000,0.035936
0.0212500,-0.052991
0.0215000,0.044657
0.0217500,-0.002073
0.0220000,-0.011099
0.0222500,0.021473
0.0225000,-0.005370
0.0227500,0.008776
0.0230000,-0.001798
0.0232500,0.011034
0.0235000,-0.001918
0.0237500,0.003800
0.0240000,0.006030
0.0242500,-0.004671
0.0245000,0.016570
0.0247500,-0.013251
0.0250000,0.014656
0.0252500,0.008382
0.0255000,-0.016705
0.0257500,0.031966
0.0260000,-0.012333
0.0262500,-0.000976
0.0265000,0.028983
0.0267500,-0.021171
0.0270000,0.014437
0.0272500,0.012721
0.0275000,-0.010994
0.0277500,0.013460
0.0280000,0.003228
0.0282500,0.003398
